State,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,6.1,6.4,6.7,6.9,6.8,6.8,7.0,6.9,6.6,6.3,6.0,5.7
Alaska,6.4,6.5,6.6,6.4,6.4,6.4,6.5,6.8,6.8,6.8,6.6,6.3
Arizona,7.5,7.3,7.3,6.9,6.8,6.9,7.0,7.1,6.9,6.8,6.8,6.7
Arkansas,7.3,7.1,6.9,6.6,6.4,6.2,6.2,6.3,6.2,6.0,5.8,5.7
California,8.1,8.0,8.1,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.2,7.0
Colorado,6.1,6.1,6.2,6.0,5.8,5.5,5.3,5.1,4.7,4.3,4.1,4.0
Connecticut,7.2,7.0,7.0,6.9,6.9,6.7,6.6,6.6,6.4,6.4,6.5,6.4
Delaware,6.1,6.0,5.9,5.8,5.9,6.1,6.2,6.5,6.5,6.4,6.0,5.4
D.C.,7.4,7.4,7.5,7.5,7.5,7.4,7.4,7.6,7.7,7.6,7.4,7.3
Florida,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.1,6.0,5.8,5.6
Georgia,7.3,7.1,7.0,7.0,7.2,7.4,7.7,8.1,7.9,7.7,7.2,6.9
Hawaii,4.6,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4.0,4.0
Idaho,5.4,5.3,5.2,5.0,4.9,4.7,4.8,4.7,4.5,4.1,3.9,3.7
Illinois,8.7,8.7,8.4,7.9,7.5,7.1,6.8,6.7,6.6,6.6,6.4,6.2
Indiana,6.4,6.1,5.9,5.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.8
Iowa,4.3,4.4,4.5,4.3,4.4,4.4,4.5,4.5,4.6,4.5,4.3,4.1
Kansas,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.9,4.8,4.4,4.3,4.2
Kentucky,7.7,7.8,7.9,7.7,7.7,7.4,7.4,7.1,6.7,6.2,6.0,5.7
Louisiana,4.9,4.5,4.5,4.5,4.9,5.0,5.4,5.8,6.0,6.2,6.5,6.7
Maine,6.2,6.1,5.9,5.7,5.7,5.5,5.5,5.6,5.8,5.8,5.7,5.5
Maryland,5.8,5.7,5.6,5.5,5.6,5.8,6.1,6.4,6.3,6.0,5.6,5.5
Massachusetts,6.8,6.5,6.3,6.0,5.6,5.5,5.6,5.8,6.0,6.0,5.8,5.5
Michigan,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.4,7.2,7.1,6.7,6.3
Minnesota,4.7,4.8,4.8,4.7,4.6,4.5,4.5,4.3,4.1,3.9,3.7,3.6
Mississippi,7.5,7.4,7.6,7.5,7.7,7.9,8.0,7.9,7.7,7.6,7.3,7.2
Missouri,6.0,6.4,6.7,6.6,6.6,6.5,6.5,6.3,6.3,5.9,5.6,5.4
Montana,5.3,5.1,5.1,4.8,4.6,4.5,4.6,4.7,4.6,4.5,4.3,4.2
Nebraska,3.5,3.6,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.4,3.1,2.9
Nevada,8.7,8.5,8.5,8.0,7.9,7.7,7.7,7.6,7.3,7.1,6.9,6.8
New Hampshire,4.9,4.7,4.5,4.4,4.4,4.4,4.4,4.4,5.2,4.2,4.1,4.0
New Jersey,7.1,7.1,7.2,6.9,6.8,6.6,6.5,6.6,6.5,6.6,6.4,6.2
New Mexico,6.6,6.7,7.0,6.8,6.5,6.5,6.6,6.7,6.6,6.5,6.4,6.1
New York,6.8,6.8,6.9,6.7,6.7,6.6,6.6,6.4,6.2,6.0,5.9,5.8
North Carolina,6.7,6.4,6.3,6.2,6.4,6.4,6.5,6.8,6.7,6.3,5.8,5.5
North Dakota,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.7,2.8
Ohio,6.9,6.5,6.1,5.7,5.5,5.5,5.7,5.7,5.6,5.3,5.0,4.8
Oklahoma,5.2,5.0,4.9,4.6,4.6,4.5,4.6,4.7,4.7,4.5,4.4,4.2
Oregon,7.0,6.9,6.9,6.9,6.9,6.8,6.9,7.2,7.1,7.0,7.0,6.7
Pennsylvania,6.4,6.2,6.0,5.7,5.6,5.6,5.7,5.8,5.7,5.4,5.1,4.8
Puerto Rico,15.2,15.0,14.7,14.1,13.8,13.1,13.1,13.5,14.1,14.0,14.0,13.7
Rhode Island,9.2,9.0,8.7,8.3,8.2,7.9,7.7,7.7,7.6,7.4,7.1,6.8
South Carolina,6.4,5.7,5.5,5.3,5.3,5.3,5.8,6.4,6.6,6.7,6.7,6.5
South Dakota,3.6,3.6,3.7,3.8,3.8,3.8,3.7,3.6,3.4,3.3,3.3,3.3
Tennessee,7.2,6.9,6.7,6.3,6.4,6.6,7.1,7.4,7.3,7.1,6.8,6.6
Texas,5.7,5.7,5.5,5.2,5.1,5.1,5.1,5.3,5.2,5.1,4.9,4.6
Utah,3.9,3.9,4.1,3.8,3.6,3.5,3.6,3.6,3.5,3.6,3.6,3.5
Vermont,4.0,3.7,3.4,3.3,3.3,3.5,3.7,4.1,4.4,4.4,4.3,4.2
Virginia,5.0,4.9,5.0,4.9,5.1,5.3,5.3,5.6,5.5,5.3,5.0,4.8
Washington,6.4,6.4,6.3,6.1,6.1,5.8,5.6,5.6,5.7,6.0,6.2,6.3
West Virginia,5.9,6.0,6.1,6.0,6.3,6.2,6.3,6.6,6.6,6.5,6.3,6.0
Wisconsin,6.1,6.1,5.9,5.8,5.7,5.7,5.8,5.6,5.5,5.4,5.2,5.2
Wyoming,4.3,4.2,4.0,3.7,3.8,4.0,4.4,4.6,4.7,4.7,4.5,4.2
Source: Bureau of Labor Statistics,,,,,,,,,,,,
