State,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,7.8,8.4,9.0,9.0,9.8,10.1,10.2,10.4,10.7,10.9,10.5,11.0
Alaska,7.9,8.0,8.5,8.0,8.4,8.4,8.3,8.3,8.4,8.9,8.7,8.8
Arizona,7.0,7.4,7.8,7.7,8.2,8.7,9.2,9.1,9.1,9.3,8.9,9.1
Arkansas,6.4,6.6,6.5,6.5,7.0,7.2,7.4,7.1,7.1,7.6,7.4,7.7
California,10.1,10.5,11.2,11.0,11.5,11.6,11.9,12.2,12.2,12.5,12.3,12.4
Colorado,6.6,7.2,7.5,7.4,7.6,7.6,7.8,7.3,7.0,6.9,6.9,7.5
Connecticut,7.3,7.4,7.5,7.9,8.0,8.0,7.8,8.1,8.4,8.8,8.2,8.9
Delaware,6.7,7.4,7.7,7.5,8.1,8.4,8.2,8.1,8.3,8.7,8.5,9.0
D.C.,9.3,9.9,9.8,9.9,10.7,10.9,10.6,11.1,11.4,11.9,11.8,12.1
Florida,8.6,9.4,9.7,9.6,10.2,10.6,10.7,10.7,11.0,11.2,11.5,11.8
Georgia,8.6,9.3,9.2,9.3,9.7,10.1,10.3,10.2,10.1,10.2,10.2,10.3
Hawaii,6.1,6.5,7.1,6.9,7.4,7.4,7.0,7.2,7.2,7.2,7.0,6.9
Idaho,6.6,6.8,7.0,7.0,7.8,8.4,8.8,8.9,8.8,9.0,9.1,9.1
Illinois,7.9,8.6,9.1,9.4,10.1,10.3,10.4,10.0,10.5,11.0,10.9,11.1
Indiana,9.2,9.4,10.0,9.9,10.6,10.7,10.6,9.9,9.6,9.8,9.6,9.9
Iowa,4.8,4.9,5.2,5.1,5.8,6.2,6.5,6.8,6.7,6.7,6.7,6.6
Kansas,5.8,5.9,6.1,6.4,7.0,7.0,7.4,7.1,6.9,6.8,6.3,6.6
Kentucky,8.7,9.2,9.8,9.8,10.6,10.9,11.0,11.1,10.9,11.2,10.6,10.7
Louisiana,5.1,5.7,5.8,6.2,6.6,6.8,7.4,7.8,7.4,7.4,6.7,7.5
Maine,7.8,8.0,8.1,7.9,8.3,8.5,8.4,8.6,8.5,8.2,8.0,8.3
Maryland,6.2,6.7,6.9,6.8,7.2,7.3,7.3,7.2,7.2,7.3,7.4,7.5
Massachusetts,7.4,7.8,7.8,8.0,8.2,8.6,8.8,9.1,9.3,8.9,8.8,9.4
Michigan,11.6,12.0,12.6,12.9,14.1,15.2,15.0,15.2,15.3,15.1,14.7,14.6
Minnesota,7.6,8.1,8.2,8.1,8.2,8.4,8.1,8.0,7.3,7.6,7.4,7.4
